title,tags,vote_average,popularity
Superman Returns,adventure fantasy action science fiction saving the world dc comics invulnerability sequel superhero brandon routh kevin spacey kate bosworth james marsden parker posey bryan singer superman returns to discover his 5 year absence has allowed lex luthor to walk free and that those he was closest too felt abandoned and have moved on luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever as well as ridding himself of the man of steel,5.4,57.925623
Quantum of Solace,adventure action thriller crime killing undercover secret agent british secret service daniel craig olga kurylenko mathieu amalric judi dench giancarlo giannini marc forster quantum of solace continues the adventures of james bond after casino royale betrayed by vesper the woman he loved 007 fights the urge to make his latest mission personal pursuing his determination to uncover the truth bond and m interrogate mr white who reveals that the organization that blackmailed vesper is far more complex and dangerous than anyone had imagined,6.1,107.928811
Pirates of the Caribbean: Dead Man's Chest,adventure fantasy action witch fortune teller bondage exotic island monster johnny depp orlando bloom keira knightley stellan skarsg u00e5rd bill nighy gore verbinski captain jack sparrow works his way out of a blood debt with the ghostly davey jones he also attempts to avoid eternal damnation,7.0,145.84737900000005
The Lone Ranger,action adventure western texas horse survivor texas ranger partner johnny depp armie hammer william fichtner helena bonham carter james badge dale gore verbinski the texas rangers chase down a gang of outlaws led by butch cavendish but the gang ambushes the rangers seemingly killing them all one survivor is found however by an american indian named tonto who nurses him back to health the ranger donning a mask and riding a white stallion named silver teams up with tonto to bring the unscrupulous gang and others of that ilk to justice,5.9,49.046956
Man of Steel,action adventure fantasy science fiction saving the world dc comics superhero based on comic book superhuman henry cavill amy adams michael shannon kevin costner diane lane zack snyder a young boy learns that he has extraordinary powers and is not of this earth as a young man he journeys to discover where he came from and what he was sent here to do but the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind,6.5,99.398009
The Chronicles of Narnia: Prince Caspian,adventure family fantasy based on novel fictional place brother sister relationship lion human being ben barnes william moseley anna popplewell skandar keynes georgie henley andrew adamson one year after their incredible adventures in the lion the witch and the wardrobe peter edmund lucy and susan pevensie return to narnia to aid a young prince whose life has been threatened by the evil king miraz now with the help of a colorful cast of new characters including trufflehunter the badger and nikabrik the dwarf the pevensie clan embarks on an incredible quest to ensure that narnia is returned to its rightful heir,6.3,53.978602
The Avengers,science fiction action adventure new york shield marvel comic superhero based on comic book robert downey jr chris evans mark ruffalo chris hemsworth scarlett johansson joss whedon when an unexpected enemy emerges and threatens global safety and security nick fury director of the international peacekeeping agency known as s h i e l d finds himself in need of a team to pull the world back from the brink of disaster spanning the globe a daring recruitment effort begins,7.4,144.448633
Pirates of the Caribbean: On Stranger Tides,adventure action fantasy sea captain mutiny sword prime minister johnny depp pen u00e9lope cruz ian mcshane kevin mcnally geoffrey rush rob marshall captain jack sparrow crosses paths with a woman from his past and he s not sure if it s love or if she s a ruthless con artist who s using him to find the fabled fountain of youth when she forces him aboard the queen anne s revenge the ship of the formidable pirate blackbeard jack finds himself on an unexpected adventure in which he doesn t know who to fear more blackbeard or the woman from his past,6.4,135.413856
Men in Black 3,action comedy science fiction time travel time machine alien fictional government agency seeing the future will smith tommy lee jones josh brolin michael stuhlbarg emma thompson barry sonnenfeld agents j will smith and k tommy lee jones are back in time j has seen some inexplicable things in his 15 years with the men in black but nothing not even aliens perplexes him as much as his wry reticent partner but when k s life and the fate of the planet are put at stake agent j will have to travel back in time to put things right j discovers that there are secrets to the universe that k never told him secrets that will reveal themselves as he teams up with the young agent k josh brolin to save his partner the agency and the future of humankind,6.2,52.035179
The Hobbit: The Battle of the Five Armies,action adventure fantasy corruption elves dwarves orcs middle earth tolkien martin freeman ian mckellen richard armitage ken stott graham mctavish peter jackson immediately after the events of the desolation of smaug bilbo and the dwarves try to defend erebor s mountain of treasure from others who claim it the men of the ruined laketown and the elves of mirkwood meanwhile an army of orcs led by azog the defiler is marching on erebor fueled by the rise of the dark lord sauron dwarves elves and men must unite and the hope for middle earth falls into bilbo s hands,7.1,120.965743
The Amazing Spider-Man,action adventure fantasy loss of father vigilante serum marvel comic scientific experiment andrew garfield emma stone rhys ifans denis leary campbell scott marc webb peter parker is an outcast high schooler abandoned by his parents as a boy leaving him to be raised by his uncle ben and aunt may like most teenagers peter is trying to figure out who he is and how he got to be the person he is today as peter discovers a mysterious briefcase that belonged to his father he begins a quest to understand his parents disappearance leading him directly to oscorp and the lab of dr curt connors his father s former partner as spider man is set on a collision course with connors alter ego the lizard peter will make life altering choices to use his powers and shape his destiny to become a hero,6.5,89.866276
Robin Hood,action adventure robin hood archer knight sherwood forest bow and arrow russell crowe cate blanchett max von sydow william hurt mark strong ridley scott when soldier robin happens upon the dying robert of loxley he promises to return the man s sword to his family in nottingham there he assumes robert s identity romances his widow marion and draws the ire of the town s sheriff and king john s henchman godfrey,6.2,37.668301
The Hobbit: The Desolation of Smaug,adventure fantasy elves dwarves orcs hobbit dragon martin freeman ian mckellen richard armitage ken stott graham mctavish peter jackson the dwarves bilbo and gandalf have successfully escaped the misty mountains and bilbo has gained the one ring they all continue their journey to get their gold back from the dragon smaug,7.6,94.370564
The Golden Compass,adventure fantasy england compass experiment lordship uncle dakota blue richards nicole kidman daniel craig sam elliott eva green chris weitz after overhearing a shocking secret precocious orphan lyra belacqua trades her carefree existence roaming the halls of jordan college for an otherworldly adventure in the far north unaware that it s part of her destiny,5.8,42.990906
King Kong,adventure drama action film business screenplay show business film making film producer naomi watts jack black adrien brody thomas kretschmann colin hanks peter jackson in 1933 new york an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island where they encounter kong a giant ape who is immediately smitten with the leading lady,6.6,61.226009999999995
Titanic,drama romance thriller shipwreck iceberg ship panic titanic kate winslet leonardo dicaprio frances fisher billy zane kathy bates james cameron 84 years later a 101 year old woman named rose dewitt bukater tells the story to her granddaughter lizzy calvert brock lovett lewis bodine bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912 on a ship called titanic when young rose boards the departing ship with the upper class passengers and her mother ruth dewitt bukater and her fianc caledon hockley meanwhile a drifter and artist named jack dawson and his best friend fabrizio de rossi win third class tickets to the ship in a game and she explains the whole story from departure until the death of titanic on its first and last voyage april 15th 1912 at 2 20 in the morning,7.5,100.025899
Captain America: Civil War,adventure action science fiction civil war war marvel comic sequel superhero chris evans robert downey jr scarlett johansson sebastian stan anthony mackie anthony russo following the events of age of ultron the collective governments of the world pass an act designed to regulate all superhuman activity this polarizes opinion amongst the avengers causing two factions to side with iron man or captain america which causes an epic battle between former allies,7.1,198.372395
Battleship,thriller action adventure science fiction fight u s navy mind reading hong kong soccer taylor kitsch alexander skarsg u00e5rd rihanna brooklyn decker tadanobu asano peter berg when mankind beams a radio signal into space a reply comes from planet g in the form of several alien crafts that splash down in the waters off hawaii lieutenant alex hopper is a weapons officer assigned to the uss john paul jones part of an international naval coalition which becomes the world s last hope for survival as they engage the hostile alien force of unimaginable strength while taking on the invaders hopper must also try to live up to the potential his brother and his fianc e s father admiral shane expect of him,5.5,64.928382
Jurassic World,action adventure science fiction thriller monster dna tyrannosaurus rex velociraptor island chris pratt bryce dallas howard irrfan khan vincent d onofrio nick robinson colin trevorrow twenty two years after the events of jurassic park isla nublar now features a fully functioning dinosaur theme park jurassic world as originally envisioned by john hammond,6.5,418.708552
Skyfall,action adventure thriller spy secret agent sociopath killer art gallery daniel craig judi dench javier bardem ralph fiennes naomie harris sam mendes when bond s latest assignment goes gravely wrong and agents around the world are exposed mi6 is attacked forcing m to relocate the agency these events cause her authority and position to be challenged by gareth mallory the new chairman of the intelligence and security committee with mi6 now compromised from both inside and out m is left with one ally she can trust bond 007 takes to the shadows aided only by field agent eve following a trail to the mysterious silva whose lethal and hidden motives have yet to reveal themselves,6.9,93.004993
Spider-Man 2,action adventure fantasy dual identity love of one s life pizza boy marvel comic sequel tobey maguire kirsten dunst james franco alfred molina rosemary harris sam raimi peter parker is going through a major identity crisis burned out from being spider man he decides to shelve his superhero alter ego which leaves the city suffering in the wake of carnage left by the evil doc ock in the meantime parker still can t act on his feelings for mary jane watson a girl he s loved since childhood,6.7,35.149586
Iron Man 3,action adventure science fiction terrorist war on terror tennessee malibu marvel comic robert downey jr gwyneth paltrow don cheadle guy pearce rebecca hall shane black when tony stark s world is torn apart by a formidable terrorist called the mandarin he starts an odyssey of rebuilding and retribution,6.8,77.68208
Alice in Wonderland,family fantasy adventure based on novel fictional place queen fantasy alice in wonderland mia wasikowska johnny depp anne hathaway helena bonham carter crispin glover tim burton alice an unpretentious and individual 19 year old is betrothed to a dunce of an english nobleman at her engagement party she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit arriving in a strange and surreal place called underland she finds herself in a world that resembles the nightmares she had as a child filled with talking animals villainous queens and knights and frumious bandersnatches alice realizes that she is there for a reason to conquer the horrific jabberwocky and restore the rightful queen to her throne,6.4,78.530105
X-Men: The Last Stand,adventure action science fiction thriller mutant marvel comic based on comic book superhuman beast hugh jackman halle berry ian mckellen patrick stewart famke janssen brett ratner when a cure is found to treat mutations lines are drawn amongst the x men and the brotherhood a band of powerful mutants organized under xavier s former ally magneto,6.3,3.857526
Monsters University,animation family monster dormitory games animation best friend billy crystal john goodman steve buscemi helen mirren noah johnston dan scanlon a look at the relationship between mike and sulley during their days at monsters university when they weren t necessarily the best of friends,7.0,89.186492
Transformers: Revenge of the Fallen,science fiction action adventure egypt sun chaos symbol artifact shia labeouf megan fox josh duhamel rainn wilson tyrese gibson michael bay sam witwicky leaves the autobots behind for a normal life but when his mind is filled with cryptic symbols the decepticons target him and he is dragged back into the transformers war,6.0,21.939663
Transformers: Age of Extinction,science fiction action adventure sequel alien transformers giant robot robot mark wahlberg stanley tucci kelsey grammer nicola peltz jack reynor michael bay as humanity picks up the pieces following the conclusion of transformers dark of the moon autobots and decepticons have all but vanished from the face of the planet however a group of powerful ingenious businessman and scientists attempt to learn from past transformer incursions and push the boundaries of technology beyond what they can control all while an ancient powerful transformer menace sets earth in his cross hairs,5.8,116.840296
Oz: The Great and Powerful,fantasy adventure family circus witch magic hope illusion james franco mila kunis rachel weisz michelle williams zach braff sam raimi oscar diggs a small time circus illusionist and con artist is whisked from kansas to the land of oz where the inhabitants assume he s the great wizard of prophecy there to save oz from the clutches of evil,5.7,46.985445
The Amazing Spider-Man 2,action adventure fantasy obsession marvel comic sequel based on comic book electrocution andrew garfield emma stone jamie foxx dane dehaan campbell scott marc webb for peter parker life is busy between taking out the bad guys as spider man and spending time with the person he loves gwen stacy high school graduation cannot come quickly enough peter has not forgotten about the promise he made to gwen s father to protect her by staying away but that is a promise he cannot keep things will change for peter when a new villain electro emerges an old friend harry osborn returns and peter uncovers new clues about his past,6.5,89.270217
TRON: Legacy,adventure action science fiction artificial intelligence secret identity computer program dystopia computer garrett hedlund jeff bridges olivia wilde bruce boxleitner yaya dacosta joseph kosinski sam flynn the tech savvy and daring son of kevin flynn investigates his father s disappearance and is pulled into the grid with the help of a mysterious program named quorra sam quests to stop evil dictator clu from crossing into the real world,6.3,73.79505
Cars 2,animation family adventure comedy car race sequel comedy anthropomorphism best friend owen wilson larry the cable guy michael caine emily mortimer john turturro john lasseter star race car lightning mcqueen and his pal mater head overseas to compete in the world grand prix race but the road to the championship becomes rocky as mater gets caught up in an intriguing adventure of his own international espionage,5.8,49.98659
Green Lantern,adventure action thriller science fiction dc comics transformation superhero alien alien infection ryan reynolds blake lively peter sarsgaard tim robbins mark strong martin campbell for centuries a small but powerful force of warriors called the green lantern corps has sworn to keep intergalactic order each green lantern wears a ring that grants him superpowers but when a new enemy called parallax threatens to destroy the balance of power in the universe their fate and the fate of earth lie in the hands of the first human ever recruited,5.1,51.872839
Toy Story 3,animation family comedy hostage college toy barbie animation tom hanks tim allen ned beatty joan cusack michael keaton lee unkrich woody buzz and the rest of andy s toys haven t been played with in years with andy about to go to college the gang find themselves accidentally left at a nefarious day care center the toys must band together to escape and return home to andy,7.6,59.99541800000001
Terminator Salvation,action science fiction thriller saving the world artificial intelligence prophecy san francisco cyborg christian bale sam worthington anton yelchin moon bloodgood bryce dallas howard mcg all grown up in post apocalyptic 2018 john connor must lead the resistance of humans against the increasingly dominating militaristic robots but when marcus wright appears his existence confuses the mission as connor tries to determine whether wright has come from the future or the past and whether he s friend or foe,5.9,71.862892
Furious 7,action car race speed revenge suspense car vin diesel paul walker dwayne johnson michelle rodriguez tyrese gibson james wan deckard shaw seeks revenge against dominic toretto and his family for his comatose brother,7.3,102.322217
World War Z,action drama horror science fiction thriller dystopia apocalypse zombie nuclear weapons multiple perspectives brad pitt mireille enos abigail hargrove sterling jerins james badge dale marc forster life for former united nations investigator gerry lane and his family seems content suddenly the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies after barely escaping the chaos lane is persuaded to go on a mission to investigate this disease what follows is a perilous trek around the world where lane must brave horrific dangers and long odds to find answers before human civilization falls,6.7,81.834855
X-Men: Days of Future Past,action adventure fantasy science fiction 1970s mutant time travel marvel comic based on comic book hugh jackman james mcavoy michael fassbender jennifer lawrence halle berry bryan singer the ultimate x men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past to save our future,7.5,118.078691
Star Trek Into Darkness,action adventure science fiction spacecraft friendship sequel futuristic space chris pine zachary quinto zoe saldana karl urban simon pegg j j abrams when the crew of the enterprise is called back home they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for leaving our world in a state of crisis with a personal score to settle captain kirk leads a manhunt to a war zone world to capture a one man weapon of mass destruction as our heroes are propelled into an epic chess game of life and death love will be challenged friendships will be torn apart and sacrifices must be made for the only family kirk has left his crew,7.4,78.29101800000002
Jack the Giant Slayer,action family fantasy based on fairy tale giant nicholas hoult eleanor tomlinson ewan mcgregor stanley tucci ian mcshane bryan singer the story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants unleashed on the earth for the first time in centuries the giants strive to reclaim the land they once lost forcing the young man jack into the battle of his life to stop them fighting for a kingdom its people and the love of a brave princess he comes face to face with the unstoppable warriors he thought only existed in legend and gets the chance to become a legend himself,5.5,43.349855
The Great Gatsby,drama romance based on novel infidelity obsession hope 3d leonardo dicaprio tobey maguire carey mulligan joel edgerton elizabeth debicki baz luhrmann an adaptation of f scott fitzgerald s long island set novel where midwesterner nick carraway is lured into the lavish world of his neighbor jay gatsby soon enough however carraway will see through the cracks of gatsby s nouveau riche existence where obsession madness and tragedy await,7.3,61.196071
Prince of Persia: The Sands of Time,adventure fantasy action romance persia sandstorm brother against brother armageddon regent jake gyllenhaal gemma arterton ben kingsley alfred molina steve toussaint mike newell a rogue prince reluctantly joins forces with a mysterious princess and together they race against dark forces to safeguard an ancient dagger capable of releasing the sands of time gift from the gods that can reverse time and allow its possessor to rule the world,6.2,62.169881
Pacific Rim,action science fiction adventure dystopia giant robot giant monster apocalypse imax idris elba charlie hunnam charlie day ron perlman burn gorman guillermo del toro when legions of monstrous creatures known as kaiju started rising from the sea a war began that would take millions of lives and consume humanity s resources for years on end to combat the giant kaiju a special type of weapon was devised massive robots called jaegers which are controlled simultaneously by two pilots whose minds are locked in a neural bridge but even the jaegers are proving nearly defenseless in the face of the relentless kaiju on the verge of defeat the forces defending mankind have no choice but to turn to two unlikely heroes a washed up former pilot charlie hunnam and an untested trainee rinko kikuchi who are teamed to drive a legendary but seemingly obsolete jaeger from the past together they stand as mankind s last hope against the mounting apocalypse,6.7,56.523205
Transformers: Dark of the Moon,action science fiction adventure moon spacecraft traitor bodyguard alien planet shia labeouf john malkovich ken jeong frances mcdormand josh duhamel michael bay sam witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of autobot leader optimus prime the film centers around the space race between the ussr and the usa suggesting there was a hidden transformers role in it all that remains one of the planet s most dangerous secrets,6.1,28.529607
Indiana Jones and the Kingdom of the Crystal Skull,adventure action saving the world riddle whip treasure mexico city harrison ford cate blanchett shia labeouf ray winstone karen allen steven spielberg set during the cold war the soviets led by sword wielding irina spalko are in search of a crystal skull which has supernatural powers related to a mystical lost city of gold after being captured and then escaping from them indy is coerced to head to peru at the behest of a young man whose friend and indy s colleague professor oxley has been captured for his knowledge of the skull s whereabouts,5.7,75.674458
The Good Dinosaur,adventure animation family tyrannosaurus rex friends alternate history dinosaur fear raymond ochoa jack bright jeffrey wright frances mcdormand maleah nipay padilla peter sohn an epic journey into the world of dinosaurs where an apatosaurus named arlo makes an unlikely human friend,6.6,51.692953
Brave,animation adventure comedy family action scotland rebel bravery kingdom archer kelly macdonald julie walters billy connolly emma thompson kevin mckidd brenda chapman brave is set in the mystical scottish highlands where m rida is the princess of a kingdom ruled by king fergus and queen elinor an unruly daughter and an accomplished archer m rida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom in an attempt to set things right m rida seeks out an eccentric old wise woman and is granted an ill fated wish also figuring into m rida s quest and serving as comic relief are the kingdom s three lords the enormous lord macguffin the surly lord macintosh and the disagreeable lord dingwall,6.7,125.114374
Star Trek Beyond,action adventure science fiction sequel stranded hatred space opera chris pine zachary quinto karl urban simon pegg zoe saldana justin lin the uss enterprise crew explores the furthest reaches of uncharted space where they encounter a mysterious new enemy who puts them and everything the federation stands for to the test,6.6,65.352913
WALL·E,animation family romantic comedy ben burtt elissa knight jeff garlin fred willard john ratzenberger andrew stanton wall e is the last robot left on an earth that has been overrun with garbage and all humans have fled to outer space for 700 years he has continued to try and clean up the mess but has developed some rather interesting human like qualities when a ship arrives with a sleek new type of robot wall e thinks he s finally found a friend and stows away on the ship when it leaves,7.8,66.390712
Rush Hour 3,action comedy crime thriller ambassador chris tucker jackie chan hiroyuki sanada max von sydow yvan attal brett ratner after an attempted assassination on ambassador han inspector lee and detective carter are back in action as they head to paris to protect a french woman with knowledge of the triads secret leaders lee also holds secret meetings with a united nations authority but his personal struggles with a chinese criminal mastermind named kenji which reveals that it s lee s long lost brother,6.1,22.57178
2012,action adventure science fiction civilization natural disaster end of the world disaster apocalypse john cusack amanda peet chiwetel ejiofor thandie newton oliver platt roland emmerich dr adrian helmsley part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms learns that the earth s core is heating up he warns u s president thomas wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world s population the entire race is doomed meanwhile writer jackson curtis stumbles on the same information while the world s leaders race to build arks to escape the impending cataclysm curtis struggles to find a way to save his family meanwhile volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world,5.6,45.274225
A Christmas Carol,animation drama holiday based on novel victorian england money christmas eve gary oldman jim carrey steve valentine daryl sabara sage ryan robert zemeckis miser ebenezer scrooge is awakened on christmas eve by spirits who reveal to him his own miserable existence what opportunities he wasted in his youth his current cruelties and the dire fate that awaits him if he does not change his ways scrooge is faced with his own story of growing bitterness and meanness and must decide what his own future will hold death or redemption,6.6,39.744242
Jupiter Ascending,science fiction fantasy action adventure jupiter space woman director 3d interspecies romance mila kunis channing tatum sean bean eddie redmayne douglas booth lilly wachowski in a universe where human genetic material is the most precious commodity an impoverished young earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty,5.2,85.36908000000003
The Legend of Tarzan,action adventure africa feral child tarzan jungle animal attack alexander skarsg u00e5rd margot robbie christoph waltz samuel l jackson djimon hounsou david yates tarzan having acclimated to life in london is called back to his former home in the jungle to investigate the activities at a mining encampment,5.5,42.741719
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",adventure family fantasy saving the world witch based on novel brother sister relationship self sacrifice william moseley anna popplewell skandar keynes georgie henley liam neeson andrew adamson siblings lucy edmund susan and peter step through a magical wardrobe and find the land of narnia there the they discover a charming once peaceful kingdom that has been plunged into eternal winter by the evil white witch jadis aided by the wise and magnificent lion aslan the children lead narnia into a spectacular climactic battle to be free of the witch s glacial powers forever,6.7,67.391328
X-Men: Apocalypse,science fiction mutant supernatural powers marvel comic superhero based on comic book james mcavoy michael fassbender jennifer lawrence nicholas hoult oscar isaac bryan singer after the re emergence of the world s first mutant world destroyer apocalypse the x men must unite to defeat his extinction level plan,6.4,139.272042
The Dark Knight,drama action crime thriller dc comics crime fighter secret identity scarecrow sadism christian bale heath ledger aaron eckhart michael caine maggie gyllenhaal christopher nolan batman raises the stakes in his war on crime with the help of lt jim gordon and district attorney harvey dent batman sets out to dismantle the remaining criminal organizations that plague the streets the partnership proves to be effective but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of gotham as the joker,8.2,187.322927
Up,animation comedy family adventure age difference central and south america balloon animation floating in the air ed asner christopher plummer jordan nagai bob peterson delroy lindo pete docter carl fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest but at age 78 life seems to have passed him by until a twist of fate and a persistent 8 year old wilderness explorer named russell gives him a new lease on life,7.7,92.201962
Monsters vs Aliens,animation family adventure science fiction alien giant robot duringcreditsstinger seth rogen reese witherspoon hugh laurie paul rudd kiefer sutherland conrad vernon when susan murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day she mysteriously grows to 49 feet 11 inches the military jumps into action and captures susan secreting her away to a covert government compound she is renamed ginormica and placed in confinement with a ragtag group of monsters,6.0,36.167578000000006
Iron Man,action science fiction adventure middle east arms dealer malibu marvel comic superhero robert downey jr terrence howard jeff bridges shaun toub gwyneth paltrow jon favreau after being held captive in an afghan cave billionaire engineer tony stark creates a unique weaponized suit of armor to fight evil,7.4,120.725053
Hugo,adventure drama family library clock film director key toy ben kingsley sacha baron cohen asa butterfield chlo u00eb grace moretz ray winstone martin scorsese hugo is an orphan boy living in the walls of a train station in 1930s paris he learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running the only thing that he has left that connects him to his dead father is an automaton mechanical man that doesn t work without a special key which hugo needs to find to unlock the secret he believes it contains on his adventures he meets with a shopkeeper george melies who works in the train station and his adventure seeking god daughter hugo finds that they have a surprising connection to his father and the automaton and he discovers it unlocks some memories the old man has buried inside regarding his past,7.0,32.319043
Wild Wild West,action adventure comedy science fiction western steampunk based on tv series steam locomotive drag will smith kevin kline kenneth branagh salma hayek m emmet walsh barry sonnenfeld legless southern inventor dr arliss loveless plans to rekindle the civil war by assassinating president u s grant only two men can stop him gunfighter james west and master of disguise and inventor artemus gordon the two must team up to thwart loveless plans,5.1,40.748915
Suicide Squad,action adventure crime fantasy science fiction dc comics shared universe anti hero secret mission villain will smith margot robbie joel kinnaman viola davis jared leto david ayer from dc comics comes the suicide squad an antihero team of incarcerated supervillains who act as deniable assets for the united states government undertaking high risk black ops missions in exchange for commuted prison sentences,5.9,90.23792
Evan Almighty,fantasy comedy family father son relationship daily life married couple support father steve carell lauren graham john goodman jimmy bennett john michael higgins tom shadyac god contacts congressman evan baxter and tells him to build an ark in preparation for a great flood,5.3,27.082182
Edge of Tomorrow,action science fiction deja vu time warp restart dystopia war tom cruise emily blunt brendan gleeson bill paxton jonas armstrong doug liman major bill cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat cage is killed within minutes managing to take an alpha alien down with him he awakens back at the beginning of the same day and is forced to fight and die again and again as physical contact with the alien has thrown him into a time loop,7.6,79.456485
Waterworld,adventure action ocean tattoo mutant water dystopia kevin costner chaim girafi rick aviles r d call zitto kazann kevin reynolds in a futuristic world where the polar ice caps have melted and made earth a liquid planet a beautiful barmaid rescues a mutant seafarer from a floating island prison they escape along with her young charge enola and sail off aboard his ship but the trio soon becomes the target of a menacing pirate who covets the map to dryland which is tattooed on enola s back,5.9,44.640291999999995
G.I. Joe: The Rise of Cobra,adventure action thriller science fiction terrorist secret hostage technology warhead dennis quaid channing tatum marlon wayans sienna miller joseph gordon levitt stephen sommers from the egyptian desert to deep below the polar ice caps the elite g i joe team uses the latest in next generation spy and military equipment to fight the corrupt arms dealer destro and the growing threat of the mysterious cobra organization to prevent them from plunging the world into chaos,5.6,32.852443
Inside Out,drama comedy animation family dream cartoon imaginary friend animation family amy poehler phyllis smith richard kind bill hader lewis black pete docter growing up can be a bumpy road and it s no exception for riley who is uprooted from her midwest life when her father starts a new job in san francisco like all of us riley is guided by her emotions joy fear anger disgust and sadness the emotions live in headquarters the control center inside riley s mind where they help advise her through everyday life as riley and her emotions struggle to adjust to a new life in san francisco turmoil ensues in headquarters although joy riley s main and most important emotion tries to keep things positive the emotions conflict on how best to navigate a new city house and school,8.0,128.65596399999998
